species,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,basisOfRecord,depth
Callitetrarhynchus gracilis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.45,151.916667,500,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-22.533889,113.667222,20,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-22.533889,113.667222,20,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.433333,151.9,500,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-22.533889,113.667222,20,PRESERVED_SPECIMEN,NA
Callorhynchocotyle hydrolagi,-30.3,153.133333,1000,PRESERVED_SPECIMEN,NA
Callorhynchocotyle hydrolagi,-30.3,153.133333,1000,PRESERVED_SPECIMEN,NA
Callorhynchocotyle hydrolagi,-30.3,153.133333,1000,PRESERVED_SPECIMEN,NA
Callorhynchocotyle hydrolagi,-30.3,153.133333,1000,PRESERVED_SPECIMEN,NA
Callorhynchocotyle hydrolagi,-30.3,153.133333,1000,PRESERVED_SPECIMEN,NA
Callorhynchocotyle hydrolagi,-30.3,153.133333,1000,PRESERVED_SPECIMEN,NA
Crossobothrium dohrnii,40.9,14.4,NA,PRESERVED_SPECIMEN,NA
Crossobothrium dohrnii,40.9,14.4,NA,PRESERVED_SPECIMEN,NA
Dinobothrium paciferum,62,10,NA,UNKNOWN,NA
Dinobothrium planum,48.3,-4,NA,PRESERVED_SPECIMEN,NA
Dinobothrium septaria,48.3,-4,NA,PRESERVED_SPECIMEN,NA
Dinobothrium septaria,48.3,-4,NA,PRESERVED_SPECIMEN,NA
Dollfusiella litocephala,30.4525,-115.948333,80,HUMAN_OBSERVATION,0
Echeneibothrium fallax,42.5,2.3,NA,PRESERVED_SPECIMEN,NA
Echeneibothrium fallax,43.5,5,NA,PRESERVED_SPECIMEN,NA
Echeneibothrium fallax,48.3,-4,NA,PRESERVED_SPECIMEN,NA
Echeneibothrium variabile,41.59167,-70.466665,NA,UNKNOWN,NA
Echeneibothrium variabile,41.59167,-70.466665,NA,UNKNOWN,NA
Echeneibothrium variabile,54.1,-11.25,NA,PRESERVED_SPECIMEN,NA
Empruthotrema kearni,-27.166667,153.25,500,PRESERVED_SPECIMEN,NA
Empruthotrema kearni,-27.166667,153.25,500,PRESERVED_SPECIMEN,NA
Eutetrarhynchus ruficollis,48,-3,NA,PRESERVED_SPECIMEN,NA
Euzetia occultum,-27.415205,153.33412,1000,PRESERVED_SPECIMEN,NA
Euzetia occultum,-27.415205,153.33412,1000,PRESERVED_SPECIMEN,NA
Euzetia occultum,-27.415205,153.33412,1000,PRESERVED_SPECIMEN,NA
Euzetia occultum,-27.415205,153.33412,1000,PRESERVED_SPECIMEN,NA
Euzetia occultum,-27.415205,153.33412,1000,PRESERVED_SPECIMEN,NA
Euzetia occultum,-27.415205,153.33412,1000,PRESERVED_SPECIMEN,NA
Euzetia occultum,-27.415205,153.33412,1000,PRESERVED_SPECIMEN,NA
Floriceps saccatus,-14.666667,145.466667,500,PRESERVED_SPECIMEN,NA
Gilquinia squali,48.3,-4,NA,PRESERVED_SPECIMEN,NA
Gilquinia squali,47.4,-120.4,NA,PRESERVED_SPECIMEN,NA
Grillotia heptanchi,40.9,14.4,NA,PRESERVED_SPECIMEN,NA
Grillotia heptanchi,47.4,-120.4,NA,PRESERVED_SPECIMEN,NA
Grillotia heptanchi,40.9,14.4,NA,PRESERVED_SPECIMEN,NA
Grillotia heptanchi,45.3,13.4,NA,PRESERVED_SPECIMEN,NA
Grillotia heptanchi,40.9,14.4,NA,PRESERVED_SPECIMEN,NA
Grillotia heptanchi,40.9,14.4,NA,PRESERVED_SPECIMEN,NA
Grillotia heptanchi,40.9,14.4,NA,PRESERVED_SPECIMEN,NA
Grillotia heptanchi,48.4,-125.883333,NA,PRESERVED_SPECIMEN,NA
Hepatoxylon trichiuri,47.6,7.6,NA,PRESERVED_SPECIMEN,NA
Hepatoxylon trichiuri,-34.6833,24.75,NA,PRESERVED_SPECIMEN,NA
Hepatoxylon trichiuri,-33.8333,27.1,NA,PRESERVED_SPECIMEN,NA
Heteronchocotyle leucas,11.966667,-84.783333,NA,UNKNOWN,NA
Heteronybelinia estigmena,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Heteronybelinia estigmena,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Heteronybelinia estigmena,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Heteronybelinia estigmena,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Heteronybelinia estigmena,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Hexabothrium appendiculatum,44.9,-0.5,NA,PRESERVED_SPECIMEN,NA
Hexabothrium appendiculatum,57.433333,10.533333,NA,PRESERVED_SPECIMEN,NA
Hyperandrotrema cetorhini,59,-5,NA,PRESERVED_SPECIMEN,NA
Kotorella pronosoma,-14.666667,145.466667,500,PRESERVED_SPECIMEN,NA
Lacistorhynchus tenuis,40.9,14.4,NA,PRESERVED_SPECIMEN,NA
Lacistorhynchus tenuis,40.9,14.4,NA,PRESERVED_SPECIMEN,NA
Lacistorhynchus tenuis,40.9,14.4,NA,PRESERVED_SPECIMEN,NA
Lacistorhynchus tenuis,40.9,14.4,NA,PRESERVED_SPECIMEN,NA
Lacistorhynchus tenuis,41.516667,-70.683333,NA,UNKNOWN,NA
Molicola horridus,43.5,5,NA,PRESERVED_SPECIMEN,NA
Molicola horridus,-43,67,NA,PRESERVED_SPECIMEN,NA
Molicola horridus,-14.666667,145.466667,500,PRESERVED_SPECIMEN,NA
Molicola horridus,-14.666667,145.466667,500,PRESERVED_SPECIMEN,NA
Molicola horridus,-14.666667,145.45,20,PRESERVED_SPECIMEN,NA
Molicola horridus,-33.833,151.333,100000,PRESERVED_SPECIMEN,NA
Molicola horridus,-14.666667,145.466667,500,PRESERVED_SPECIMEN,NA
Molicola horridus,-14.666667,145.466667,500,PRESERVED_SPECIMEN,NA
Molicola uncinatus,-41.738,174.352,1000,HUMAN_OBSERVATION,NA
Monocotyle corali,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Monocotyle corali,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Monocotyle corali,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Monocotyle corali,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Monocotyle corali,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Monocotyle corali,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Monocotyle corali,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Monocotyle corali,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Monocotyle corali,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Monocotyle corali,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Monocotyle corali,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Monocotyle corali,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Monocotyle corali,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Monocotyle corali,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Monocotyle corali,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Monocotyle corali,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Monocotyle corali,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Monocotyle corali,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Monocotyle corali,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Monocotyle corali,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Monocotyle corali,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Monocotyle corali,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Monocotyle corali,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Monocotyle corali,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Monocotyle corali,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Monocotyle corali,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Monocotyle corali,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Monocotyle corali,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Monocotyle corali,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Neoheterocotyle darwinensis,-12.466667,130.85,500,PRESERVED_SPECIMEN,NA
Neoheterocotyle darwinensis,-12.466667,130.85,500,PRESERVED_SPECIMEN,NA
Neoheterocotyle darwinensis,-12.466667,130.85,500,PRESERVED_SPECIMEN,NA
Neoheterocotyle darwinensis,-12.466667,130.85,500,PRESERVED_SPECIMEN,NA
Neoheterocotyle darwinensis,-12.466667,130.85,500,PRESERVED_SPECIMEN,NA
Neoheterocotyle darwinensis,-12.466667,130.85,500,PRESERVED_SPECIMEN,NA
Neoheterocotyle darwinensis,-12.466667,130.85,500,PRESERVED_SPECIMEN,NA
Neoheterocotyle darwinensis,-12.466667,130.85,500,PRESERVED_SPECIMEN,NA
Neoheterocotyle darwinensis,-12.466667,130.85,500,PRESERVED_SPECIMEN,NA
Neoheterocotyle darwinensis,-12.466667,130.85,500,PRESERVED_SPECIMEN,NA
Neoheterocotyle darwinensis,-12.466667,130.85,500,PRESERVED_SPECIMEN,NA
Neoheterocotyle darwinensis,-12.466667,130.85,500,PRESERVED_SPECIMEN,NA
Neoheterocotyle darwinensis,-12.466667,130.85,500,PRESERVED_SPECIMEN,NA
Nybelinia anthicosum,27.943611,-111.060556,60,HUMAN_OBSERVATION,0
Nybelinia anthicosum,30.747222,-114.689167,80,HUMAN_OBSERVATION,0
Nybelinia queenslandensis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Nybelinia queenslandensis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Nybelinia queenslandensis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Nybelinia queenslandensis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Nybelinia queenslandensis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Nybelinia queenslandensis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Nybelinia queenslandensis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Nybelinia queenslandensis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Nybelinia queenslandensis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Nybelinia queenslandensis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Nybelinia queenslandensis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Nybelinia queenslandensis,-23.45,151.916667,500,PRESERVED_SPECIMEN,NA
Nybelinia queenslandensis,-23.45,151.916667,20,PRESERVED_SPECIMEN,NA
Nybelinia surmenicola,48.4,-125.883333,NA,PRESERVED_SPECIMEN,NA
Nybelinia surmenicola,51.4,-129.25,NA,PRESERVED_SPECIMEN,NA
Onchobothrium uncinatum,40.9,14.4,NA,PRESERVED_SPECIMEN,NA
Onchobothrium uncinatum,34.71806,-76.66417,NA,UNKNOWN,NA
Orygmatobothrium musteli,40.9,14.4,NA,PRESERVED_SPECIMEN,NA
Orygmatobothrium musteli,40.9,14.4,NA,PRESERVED_SPECIMEN,NA
Parotobothrium balli,0,0,NA,UNKNOWN,NA
Parotobothrium balli,-22.533889,113.667222,20,PRESERVED_SPECIMEN,NA
Pedibothrium cabrali,-12.333333,130.9,500,PRESERVED_SPECIMEN,NA
Pedibothrium cabrali,-14.633333,-145.2,500,PRESERVED_SPECIMEN,NA
Pedibothrium cabrali,-12.333333,130.9,500,PRESERVED_SPECIMEN,NA
Pedibothrium cabrali,-14.633333,-145.2,500,PRESERVED_SPECIMEN,NA
Pedibothrium cabrali,-14.633333,-145.2,500,PRESERVED_SPECIMEN,NA
Pedibothrium cabrali,-12.333333,130.9,500,PRESERVED_SPECIMEN,NA
Pedibothrium cabrali,-12.333333,130.9,500,PRESERVED_SPECIMEN,NA
Pedibothrium cabrali,-12.333333,130.9,500,PRESERVED_SPECIMEN,NA
Pedibothrium cabrali,-14.633333,-145.2,500,PRESERVED_SPECIMEN,NA
Pedibothrium kistnerae,-19.25,146.8333,NA,PRESERVED_SPECIMEN,NA
Pedibothrium lloydae,-12.333333,130.9,500,PRESERVED_SPECIMEN,NA
Pedibothrium lloydae,-12.333333,130.9,500,PRESERVED_SPECIMEN,NA
Pedibothrium lloydae,-12.333333,130.9,500,PRESERVED_SPECIMEN,NA
Pedibothrium lloydae,-12.333333,130.9,500,PRESERVED_SPECIMEN,NA
Pedibothrium lloydae,-12.333333,130.9,500,PRESERVED_SPECIMEN,NA
Pedibothrium lloydae,-12.333333,130.9,500,PRESERVED_SPECIMEN,NA
Pedibothrium lloydae,-12.333333,130.9,500,PRESERVED_SPECIMEN,NA
Pedibothrium mounseyi,-12.333333,130.9,500,PRESERVED_SPECIMEN,NA
Pedibothrium mounseyi,-12.333333,130.9,500,PRESERVED_SPECIMEN,NA
Pedibothrium mounseyi,-12.333333,130.9,500,PRESERVED_SPECIMEN,NA
Pedibothrium mounseyi,-12.333333,130.9,500,PRESERVED_SPECIMEN,NA
Pedibothrium mounseyi,-12.333333,130.9,500,PRESERVED_SPECIMEN,NA
Pedibothrium mounseyi,-12.333333,130.9,500,PRESERVED_SPECIMEN,NA
Pedibothrium puerobesus,-12.333333,130.9,500,PRESERVED_SPECIMEN,NA
Pedibothrium puerobesus,-12.333333,130.9,500,PRESERVED_SPECIMEN,NA
Pedibothrium puerobesus,-12.333333,130.9,500,PRESERVED_SPECIMEN,NA
Pedibothrium puerobesus,-12.333333,130.9,500,PRESERVED_SPECIMEN,NA
Pedibothrium puerobesus,-12.333333,130.9,500,PRESERVED_SPECIMEN,NA
Pedibothrium puerobesus,-12.333333,130.9,500,PRESERVED_SPECIMEN,NA
Pelichnibothrium speciosum,0,0,NA,UNKNOWN,NA
Pelichnibothrium speciosum,37.90472,-121.33486,NA,UNKNOWN,NA
Poecilancistrium caryophyllum,-32.28,28.92,NA,PRESERVED_SPECIMEN,NA
Prochristianella clarkeae,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Prochristianella clarkeae,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Prochristianella clarkeae,-27.440278,153.180556,20,PRESERVED_SPECIMEN,NA
Prochristianella clarkeae,-27.440278,153.180556,20,PRESERVED_SPECIMEN,NA
Prochristianella clarkeae,-27.440278,153.180556,20,PRESERVED_SPECIMEN,NA
Prochristianella clarkeae,-27.440278,153.180556,20,PRESERVED_SPECIMEN,NA
Prochristianella clarkeae,-27.440278,153.180556,20,PRESERVED_SPECIMEN,NA
Prochristianella clarkeae,-27.440278,153.180556,20,PRESERVED_SPECIMEN,NA
Prochristianella clarkeae,-27.440278,153.180556,20,PRESERVED_SPECIMEN,NA
Prochristianella clarkeae,-27.440278,153.180556,20,PRESERVED_SPECIMEN,NA
Prochristianella clarkeae,-27.440278,153.180556,20,PRESERVED_SPECIMEN,NA
Prochristianella clarkeae,-27.440278,153.180556,20,PRESERVED_SPECIMEN,NA
Prochristianella clarkeae,-27.440278,153.180556,20,PRESERVED_SPECIMEN,NA
Prochristianella clarkeae,-27.440278,153.180556,20,PRESERVED_SPECIMEN,NA
Prochristianella clarkeae,-27.440278,153.180556,20,PRESERVED_SPECIMEN,NA
Prochristianella clarkeae,-27.440278,153.180556,20,PRESERVED_SPECIMEN,NA
Prochristianella clarkeae,-27.440278,153.180556,20,PRESERVED_SPECIMEN,NA
Prochristianella clarkeae,-27.440278,153.180556,20,PRESERVED_SPECIMEN,NA
Prochristianella clarkeae,-27.440278,153.180556,20,PRESERVED_SPECIMEN,NA
Prochristianella clarkeae,-27.440278,153.180556,20,PRESERVED_SPECIMEN,NA
Prochristianella clarkeae,-27.440278,153.180556,20,PRESERVED_SPECIMEN,NA
Prochristianella clarkeae,-27.440278,153.180556,20,PRESERVED_SPECIMEN,NA
Prochristianella clarkeae,-27.440278,153.180556,20,PRESERVED_SPECIMEN,NA
Pseudohexabothrium taeniurae,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Pseudohexabothrium taeniurae,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Pseudohexabothrium taeniurae,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Pseudohexabothrium taeniurae,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Pseudohexabothrium taeniurae,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Pseudohexabothrium taeniurae,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Pseudohexabothrium taeniurae,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Pseudohexabothrium taeniurae,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Pseudohexabothrium taeniurae,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Pseudohexabothrium taeniurae,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Pseudohexabothrium taeniurae,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Pseudohexabothrium taeniurae,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Pseudohexabothrium taeniurae,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Rhinoptericola megacantha,9.75,-68.910278,NA,UNKNOWN,NA
Selachohemecus benzi,29.65,-85.1833,NA,PRESERVED_SPECIMEN,NA
Serendip deborahae,-3.5,-79.8,NA,PRESERVED_SPECIMEN,NA
Stibarobdella macrothela,0,0,NA,UNKNOWN,NA
Stibarobdella macrothela,23.131944,-82.364167,301,PRESERVED_SPECIMEN,NA
Stibarobdella macrothela,21.989813,-79.335205,582057,PRESERVED_SPECIMEN,NA
Stibarobdella macrothela,8.866667,-59.916667,NA,PRESERVED_SPECIMEN,NA
Stibarobdella macrothela,-27.415205,153.33412,1000,PRESERVED_SPECIMEN,NA
Stibarobdella macrothela,-10.58197,142.217537,1000,PRESERVED_SPECIMEN,NA
Stibarobdella macrothela,-21.883,114.366,NA,PRESERVED_SPECIMEN,NA
Stibarobdella macrothela,-27.416,153.333,NA,PRESERVED_SPECIMEN,NA
Stibarobdella macrothela,-29.855014,31.057219,NA,PRESERVED_SPECIMEN,NA
Stibarobdella macrothela,11.03,-75.38,NA,PRESERVED_SPECIMEN,137
Stibarobdella macrothela,-19.075,118.3067,NA,PRESERVED_SPECIMEN,NA
Stibarobdella macrothela,27,-82,NA,PRESERVED_SPECIMEN,3.5
Stibarobdella moorei,0,0,NA,UNKNOWN,NA
Stibarobdella moorei,-33.3,130.75,100000,PRESERVED_SPECIMEN,NA
Symcallio hayhowi,36,138,NA,PRESERVED_SPECIMEN,NA
Symcallio hayhowi,36,138,NA,PRESERVED_SPECIMEN,NA
Tentacularia coryphaenae,-12,42,NA,PRESERVED_SPECIMEN,NA
Tentacularia coryphaenae,-43,67,NA,PRESERVED_SPECIMEN,NA
Tetragonocephalum uarnak,7,81,NA,PRESERVED_SPECIMEN,NA
Tetrarhynchobothrium striatum,40.9,14.4,NA,PRESERVED_SPECIMEN,NA
Tetrarhynchobothrium striatum,40.9,14.4,NA,PRESERVED_SPECIMEN,NA
Tetrarhynchobothrium striatum,40.9,14.4,NA,PRESERVED_SPECIMEN,NA
Trilocularia acanthiaevulgaris,44.979852,-65.806016,NA,UNKNOWN,NA
Triloculatum triloculatum,35.250695,-77.64875,NA,UNKNOWN,NA
Udonella caligorum,44.979852,-65.806016,NA,UNKNOWN,NA
Acanthobothrium atahualpai,-3.5,-79.8,NA,PRESERVED_SPECIMEN,NA
Acanthobothrium benedeni,48.3,-4,NA,PRESERVED_SPECIMEN,NA
Acanthobothrium bobconniorum,-12.193889,136.686389,NA,HUMAN_OBSERVATION,NA
Acanthobothrium bobconniorum,-12.193889,136.686389,NA,HUMAN_OBSERVATION,NA
Acanthobothrium bobconniorum,-12.193889,136.686389,NA,HUMAN_OBSERVATION,NA
Acanthobothrium campbelli,9.4,-84,NA,PRESERVED_SPECIMEN,NA
Acanthobothrium campbelli,9.4,-84,NA,PRESERVED_SPECIMEN,NA
Acanthobothrium campbelli,9.4,-84,NA,PRESERVED_SPECIMEN,NA
Acanthobothrium coronatum,40.9,14.4,NA,PRESERVED_SPECIMEN,NA
Acanthobothrium coronatum,40.9,14.4,NA,PRESERVED_SPECIMEN,NA
Acanthobothrium coronatum,40.9,14.4,NA,PRESERVED_SPECIMEN,NA
Acanthobothrium coronatum,48.3,-4,NA,PRESERVED_SPECIMEN,NA
Acanthobothrium coronatum,48.3,-4,NA,PRESERVED_SPECIMEN,NA
Acanthobothrium coronatum,40.9,14.4,NA,PRESERVED_SPECIMEN,NA
Acanthobothrium coronatum,46,2,NA,PRESERVED_SPECIMEN,NA
Acanthobothrium coronatum,41.516667,-70.683333,NA,UNKNOWN,NA
Acanthobothrium coronatum,41.59167,-70.466665,NA,UNKNOWN,NA
Acanthobothrium coronatum,54.1,-11.25,NA,PRESERVED_SPECIMEN,NA
Acanthobothrium crassicolle,42.5,2.3,NA,PRESERVED_SPECIMEN,NA
Acanthobothrium dujardinii,48.3,-4,NA,PRESERVED_SPECIMEN,NA
Acanthobothrium electricolum,9.188889,-73.533333,NA,UNKNOWN,NA
Acanthobothrium filicolle,40.9,14.4,NA,PRESERVED_SPECIMEN,NA
Acanthobothrium fogeli,9.5,-65,NA,UNKNOWN,NA
Acanthobothrium holorhini,33.751,-118.215,NA,PRESERVED_SPECIMEN,NA
Acanthobothrium hypermekkolpos,-12.193889,136.686389,NA,HUMAN_OBSERVATION,NA
Acanthobothrium hypermekkolpos,-12.193889,136.686389,NA,HUMAN_OBSERVATION,NA
Acanthobothrium jeanneae,-12.193889,136.686389,NA,HUMAN_OBSERVATION,NA
